CLK	972.000	987.428	993.600	999.000	1101.600	CT_Ratio	CT_NRatio
648.000	38.93	38.97	38.93	38.95	38.98	1.06	1
663.428	37.76	37.76	37.75	37.79	37.73	1.06	1
669.600	37.68	37.69	37.68	37.68	37.73	1.01	0.95
678.856	37.63	37.59	37.56	37.77	37.53	1.02	0.96
691.200	36.52	36.55	36.54	36.60	36.50	1.05	0.99
702.000	36.38	36.43	36.44	36.42	36.40	1.02	0.96
712.800	35.44	35.44	35.43	35.41	35.39	1.04	0.98
720.000	35.36	35.36	35.33	35.34	35.35	1.01	0.96
729.000	34.49	34.43	34.46	34.46	34.44	1.04	0.98
738.000	34.40	34.38	34.37	34.37	34.35	1.01	0.96
756.000	33.40	33.50	33.39	33.44	33.44	1.05	1
771.428	32.57	32.56	32.52	32.56	32.50	1.05	0.99
783.000	32.43	32.50	32.41	32.46	32.41	1.02	0.96
