CLK	972.000	987.428	993.600	999.000	1101.600	CT_Ratio	CT_NRatio
648.000	71.59	71.58	71.58	71.58	71.55	1.06	1
663.428	69.45	69.45	69.42	69.44	69.41	1.06	1
669.600	69.23	69.27	69.28	69.25	69.26	1.01	0.96
678.856	69.07	69.07	69.07	69.06	69.04	1.02	0.96
691.200	67.14	67.08	67.13	67.11	67.07	1.05	0.99
702.000	66.93	66.92	66.92	66.92	66.88	1.02	0.96
712.800	65.12	65.11	65.11	65.08	65.08	1.04	0.98
720.000	64.97	64.97	64.95	64.96	64.93	1.01	0.96
729.000	63.33	63.32	63.31	63.32	63.26	1.04	0.98
738.000	63.15	63.14	63.14	63.14	63.11	1.02	0.96
756.000	61.41	61.44	61.41	61.36	61.36	1.05	0.99
771.428	59.84	59.83	59.82	59.83	59.79	1.05	0.99
783.000	59.59	59.63	59.60	59.63	59.60	1.02	0.96
