PIX	{GPU [ms]}	{CPU [s]}	{CPU [ms]}	Speedup
128	22	2.32	2320	105.454545454545
256	72	9.308	9308	129.277777777778
384	148	20.665	20665	139.628378378378
512	251	36.41	36410	145.059760956175
640	385	57.541	57541	149.457142857143
768	544	82.001	82001	150.737132352941
896	732	112.068	112068	153.098360655738
1024	958	146.436	146436	152.855949895616
1152	1211	185.533	185533	153.206440957886
1280	1487	231.515	231515	155.692669804976
1408	1793	282.124	282124	157.347462353597
1536	2108	336.126	336126	159.452561669829
1664	2475	397.827	397827	160.738181818182
1792	2943	465.097	465097	158.034998301053
1920	3324	538.324	538324	161.950661853189
2048	3797	611.709	611709	161.103239399526
2176	4282	697.619	697619	162.918963101355
2304	4825	782.171	782171	162.107979274611
2432	5381	875.287	875287	162.662516260918
2560	5953	971.202	971202	163.144968923232
2688	6559	1076.056	1076056	164.057935660924
