PIX	GPU 	CPU	CPUS	Speedup	GPU_ST_Ratio	CPU_ST_Ratio	GPU_Norm_Ratio	CPU_Norm_Ratio
4096	4.66	571.26	0.57	122.59	878.97	7.17	0.78	1
16384	20.41	2411.88	2.41	118.2	802.91	6.79	0.72	0.95
65536	71.59	9616.77	9.62	134.33	915.39	6.81	0.82	0.95
147456	147.6	20964.82	20.96	142.03	999	7.03	0.89	0.98
262144	250.39	37198.26	37.2	148.56	1046.93	7.05	0.93	0.98
409600	384.18	57495.39	57.5	149.66	1066.16	7.12	0.95	0.99
589824	543.82	83064.95	83.06	152.74	1084.6	7.1	0.97	0.99
802816	731.51	112788.1	112.79	154.18	1097.47	7.12	0.98	0.99
1048576	954.45	147779.63	147.78	154.83	1098.62	7.1	0.98	0.99
1327104	1209.69	187018.94	187.02	154.6	1097.06	7.1	0.98	0.99
1638400	1479.96	233262.7	233.26	157.61	1107.06	7.02	0.99	0.98
1982464	1789.59	284368.87	284.37	158.9	1107.78	6.97	0.99	0.97
2359296	2105.61	340970.2	340.97	161.93	1120.48	6.92	1	0.97
2768896	2466.66	400997.07	401	162.57	1122.53	6.91	1	0.96
3211264	2942.96	468622.61	468.62	159.24	1091.17	6.85	0.97	0.96
3686400	3313.71	539875.91	539.88	162.92	1112.47	6.83	0.99	0.95
4194304	3802.69	614670.31	614.67	161.64	1102.98	6.82	0.98	0.95
4734976	4275.25	701980.60	701.98	164.2	1107.53	6.75	0.99	0.94
5308416	4841.71	784887.76	784.89	162.11	1096.39	6.76	0.98	0.94
5914624	5368.35	881574.04	881.57	164.22	1101.76	6.71	0.98	0.94
6553600	5954.18	978742.79	978.74	164.38	1100.67	6.7	0.98	0.93
7225344	6565.11	1082570.14	1082.57	164.9	1100.57	6.67	0.98	0.93
